 Run 403157	 Raw lumi 1.39642	Cor lumi 1.37513	 QEDC-corr stat-err 0.19245	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403158	 Raw lumi 1.93599	Cor lumi 1.90648	 QEDC-corr stat-err 0.182574	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403160	 Raw lumi 15.6058	Cor lumi 15.3679	 QEDC-corr stat-err 0.0686803	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403161	 Raw lumi 23.1217	Cor lumi 20.9446	 QEDC-corr stat-err 0.0574485	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403162	 Raw lumi 30.1998	Cor lumi 26.5339	 QEDC-corr stat-err 0.0526316	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403164	 Raw lumi 0.908502	Cor lumi 0.894653	 QEDC-corr stat-err 0.353553	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403165	 Raw lumi 24.7539	Cor lumi 16.1357	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403167	 Raw lumi 9.10976	Cor lumi 8.08337	 QEDC-corr stat-err 0.0894427	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403170	 Raw lumi 27.6511	Cor lumi 21.7449	 QEDC-corr stat-err 0.0564333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 403171	 Raw lumi 92.6735	Cor lumi 80.1062	 QEDC-corr stat-err 0.0285249	 Av pol 0	 Pol err 0	 Pol run fraction 0
