 Run 444770	 Raw lumi 3.30326	Cor lumi 3.22472	 QEDC-corr stat-err 0.141421	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444771	 Raw lumi 0.252912	Cor lumi 0.246899	 QEDC-corr stat-err 0.57735	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444773	 Raw lumi 2.18525	Cor lumi 2.1333	 QEDC-corr stat-err 0.19245	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444777	 Raw lumi 0.731563	Cor lumi 0.71417	 QEDC-corr stat-err 0.5	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444780	 Raw lumi 0.656012	Cor lumi 0.640415	 QEDC-corr stat-err 0.5	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444781	 Raw lumi 1.20465	Cor lumi 1.176	 QEDC-corr stat-err 0.242536	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444782	 Raw lumi 3.87807	Cor lumi 3.78586	 QEDC-corr stat-err 0.154303	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444785	 Raw lumi 0.793789	Cor lumi 0.774916	 QEDC-corr stat-err 803.076	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444786	 Raw lumi 2.64219	Cor lumi 2.57937	 QEDC-corr stat-err 0.150756	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444787	 Raw lumi 3.46607	Cor lumi 2.49184	 QEDC-corr stat-err 0.188982	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444788	 Raw lumi 0.607302	Cor lumi 0.592863	 QEDC-corr stat-err 0.288675	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444792	 Raw lumi 0.398749	Cor lumi 0.389268	 QEDC-corr stat-err 0.333333	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444860	 Raw lumi 3.99103	Cor lumi 3.95292	 QEDC-corr stat-err 0	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444861	 Raw lumi 3.33378	Cor lumi 3.30195	 QEDC-corr stat-err 0.130189	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444864	 Raw lumi 17.9205	Cor lumi 17.7494	 QEDC-corr stat-err 1.9725	 Av pol 0	 Pol err 0	 Pol run fraction 0
 Run 444869	 Raw lumi 4.5934	Cor lumi 4.54954	 QEDC-corr stat-err 7.01348	 Av pol 0	 Pol err 0	 Pol run fraction 0
